"Park_code","Unit_code","Location_code","Location_type","Location_status","Location_name","Panel_name","Panel_type","Firing_order","UTME_public","UTMN_public","Public_offset","Location_desc","Location_notes","Loc_established"
"SAJH","EC","1-10","Transect","Proposed",,"1","Annual",10,489537.153,5381540,"Actual",,,
"SAJH","EC","1-11","Transect","Proposed",,"1","Annual",11,489396.96,5380803.5,"Actual",,,
"SAJH","EC","1-12","Transect","Proposed",,"1","Annual",12,489348.806,5381083,"Actual",,,
"SAJH","EC","1-13","Transect","Proposed",,"1","Annual",13,489360.095,5381017.5,"Actual",,,
"SAJH","EC","1-14","Transect","Proposed",,"1","Annual",14,489396.491,5381340,"Actual",,,
"SAJH","EC","1-15","Transect","Proposed",,"1","Annual",15,489401.564,5381350,"Actual",,,
"SAJH","EC","1-2","Transect","Proposed",,"1","Annual",2,489339.449,5381138,"Actual",,,
"SAJH","EC","1-3","Transect","Proposed",,"1","Annual",3,489383.891,5380879,"Actual",,,
"SAJH","EC","1-4","Transect","Proposed",,"1","Annual",4,489338.201,5381150.5,"Actual",,,
"SAJH","EC","1-5","Transect","Proposed",,"1","Annual",5,489435.542,5381411,"Actual",,,
"SAJH","EC","1-6","Transect","Proposed",,"1","Annual",6,489412.626,5380742,"Actual",,,
"SAJH","EC","1-7","Transect","Proposed",,"1","Annual",7,489343.744,5381218,"Actual",,,
"SAJH","EC","1-8","Transect","Proposed",,"1","Annual",8,489362.301,5381004.5,"Actual",,,
"SAJH","EC","1-9","Transect","Proposed",,"1","Annual",9,489368.473,5381280.5,"Actual",,,
"SAJH","EC","2-1","Transect","Proposed",,"2","Alternating",16,489374.017,5380935.5,"Actual",,,
"SAJH","EC","2-2","Transect","Proposed",,"2","Alternating",17,489340.555,5381205.5,"Actual",,,
"SAJH","EC","2-3","Transect","Proposed",,"2","Alternating",18,489371.76,5380948.5,"Actual",,,
"SAJH","EC","2-4","Transect","Proposed",,"2","Alternating",19,489443.594,5381422,"Actual",,,
"SAJH","EC","2-5","Transect","Proposed",,"2","Alternating",20,489491.951,5381483.5,"Actual",,,
"SAJH","EC","3-1","Transect","Proposed",,"3","Alternating",21,489391.747,5380833,"Actual",,,
"SAJH","EC","3-2","Transect","Proposed",,"3","Alternating",22,489345.37,5381103,"Actual",,,
"SAJH","EC","3-3","Transect","Proposed",,"3","Alternating",23,489389.406,5380847,"Actual",,,
"SAJH","EC","3-4","Transect","Proposed",,"3","Alternating",24,489387.446,5381321,"Actual",,,
"SAJH","EC","3-5","Transect","Proposed",,"3","Alternating",25,489418.418,5381383,"Actual",,,
"SAJH","EC","4-1","Transect","Proposed",,"4","Alternating",26,489377.142,5380917.5,"Actual",,,
"SAJH","EC","4-2","Transect","Proposed",,"4","Alternating",27,489351.183,5381240,"Actual",,,
"SAJH","EC","4-3","Transect","Proposed",,"4","Alternating",28,489366.601,5380979,"Actual",,,
"SAJH","EC","4-4","Transect","Proposed",,"4","Alternating",29,489356.584,5381253,"Actual",,,
"SAJH","EC","4-5","Transect","Proposed",,"4","Alternating",30,489513.951,5381511,"Actual",,,
"SAJH","EC","5-1","Transect","Proposed",,"5","Alternating",31,489402.673,5380774.5,"Actual",,,
"SAJH","EC","5-2","Transect","Proposed",,"5","Alternating",32,489354.82,5381048.5,"Actual",,,
"SAJH","EC","5-3","Transect","Proposed",,"5","Alternating",33,489356.785,5381037,"Actual",,,
"SAJH","EC","5-4","Transect","Proposed",,"5","Alternating",34,489381.733,5381309,"Actual",,,
"SAJH","EC","5-5","Transect","Proposed",,"5","Alternating",35,489523.021,5381522.5,"Actual",,,
"SAJH","EC","6-1","Transect","Proposed",,"6","Alternating",36,489379.231,5380905.5,"Actual",,,
"SAJH","EC","6-2","Transect","Proposed",,"6","Alternating",37,489337.133,5381180.5,"Actual",,,
"SAJH","EC","6-3","Transect","Proposed",,"6","Alternating",38,489343.001,5381117,"Actual",,,
"SAJH","EC","6-4","Transect","Proposed",,"6","Alternating",39,489458.241,5381441,"Actual",,,
"SAJH","EC","6-5","Transect","Proposed",,"6","Alternating",40,489468.904,5381454.5,"Actual",,,
