"Park_code","Loc_code","Unit_code","Location_code","Calendar_year","Start_date","Observation_ID","Segment_num","Segment_length_m","No_GPS","UTME","UTMN","Field_coord","Veg_type","Origin","Cover_class","Is_grazed","Substrate","Obs_notes","Flag","Office_notes"
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6006,17,9.67,0,499927.847,5367223.026,5367222,"H","E","0-10%",-1,,"BROHOR, HOLLAN",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6007,18,84.60,0,499927.707,5367232.702,5367232,"H","E","0-10%",0,,"SCHPHN, BROHOR",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6008,19,12.10,0,499927.625,5367317.308,5367317,"H","N","11-49%",0,,"calystegia, ABRLAT, SEHPHNBRORIG",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6009,20,14.73,0,499927.692,5367329.414,5367329,"H","E","0-10%",0,,"SCHPHN, BROTEC, BRORIG, ABRLA, lupine",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6010,21,13.58,0,499927.861,5367344.151,5367344,"S","E","NA",0,,"RUBDIS",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6011,22,91.53,0,499927.868,5367357.735,5367357,"H","E","0-10%",0,,"CIRARV, VICSAT, SCHPHN, POAPRA",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6012,23,32.87,0,499927.637,5367449.266,5367449,"H","N","11-49%",0,,"LEYMOL, SCHPHN",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6013,24,9.26,0,499927.85,5367482.141,5367481,"H","E","0-10%",0,,"POAPRA, LEYMOL, HOLLAN",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6014,25,7.19,0,499927.85,5367491.406,5367491,"H","E","11-49%",0,,"HOLLAN, LEYMOL, POAPRA",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6015,26,5.35,0,499927.85,5367498.6,5367498,"H","N","0-10%",0,,"LEYMOL",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6016,27,7.07,0,499927.781,5367503.959,5367503,"H","E","11-49%",0,,"LEYMOL, BROHOR, HOLLAN, SCHPHN",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6017,28,2.67,0,499926.817,5367511.034,5367507,"H","E","0-10%",-1,,"HOLLAN, BROCOM, PTEAQU",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6018,29,11.58,0,499927.763,5367513.705,5367513,"H","N","50-100%",0,,"HOLLAN, POAPRA, PEYMOL, PTEAQU",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6019,30,8.12,0,499927.771,5367525.294,5367524,"H","E","11-49%",0,,"SCHPHN, PTEAQU, LEYMOL, HOLLAN",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6020,31,8.57,0,499927.929,5367533.421,5367532,"H","N","50-100%",0,,"POAPRA, SCHPHN, HOLLAN, LEYMOL",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6021,32,6.57,0,499927.819,5367541.999,5367541,"H","E","0-10%",-1,,"HOLLAN, GERMOL, LEYMOL, amsinckla",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6022,33,9.80,0,499927.776,5367548.577,5367548,"H","N","11-49%",0,,"BROSIT, LEYMOL, POAPRA",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6023,34,6.94,0,499927.894,5367558.384,5367557,"H","E","11-49%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6024,35,12.81,0,499927.87,5367565.328,5367564,"H","E","11-49%",-1,,"CIRARV, LEYMOL, HOLLAN, MYODIS",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6025,36,2.76,0,499927.939,5367578.138,5367577,"H","N","11-49%",0,,"CIRARV, POAPRA, LEYMOL, carex",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6026,37,5.53,0,499927.854,5367580.905,5367580,"H","E","0-10%",-1,,,0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6027,38,6.80,0,499927.811,5367586.44,5367585,"H","N","11-49%",0,,"HOLLAN, LEYMOL, CIRARV",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6028,39,54.85,0,499927.915,5367593.246,5367592,"H","N","0-10%",0,,"amsinckia, SISALT, ABRLAT, LEYMOL, PTEAQU",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6029,40,12.78,0,499927.797,5367648.1,5367647,"H","N","0-10%",-1,,"ABRLAT, LEYMOL, SISALT, BROTEC",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6030,41,7.57,0,499927.643,5367660.883,5367660,"H","E","0-10%",-1,,"SISALT, RUMACE, HOLLAN, BROTEC, ABRLAT, CIRARV",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6031,42,13.98,0,499927.706,5367668.456,5367667,"H","N","0-10%",0,,"ABRLAT, amsickia,very bare",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6032,43,8.80,0,499927.758,5367682.436,5367681,"H","N","11-49%",-1,,"ABRLAT, CIRSARV",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6033,44,32.89,0,499927.707,5367691.244,5367690,"H","E","0-10%",-1,,"POAPRA, CIRARV, ABRLAT",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6034,45,14.14,0,499927.647,5367724.14,5367723,"H","E","0-10%",0,,"ELYREP",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6035,46,45.99,0,499927.537,5367738.284,5367737,"H","E","0-10%",-1,,"GERMOL, BROTEC, CIRARV, POAPRA",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6036,47,31.88,0,499927.722,5367784.275,5367783,"H","E","0-10%",0,,"agrostis stol., HOLLAN",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6037,48,4.93,0,499927.704,5367816.164,5367815,"S","N","NA",0,,"ROSNUT",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6038,49,2.33,0,499927.745,5367821.099,5367820,"H","E","0-10%",-1,,"POAPRA, HOLLAN",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6039,50,2.62,0,499927.594,5367823.436,5367822,"H","E","0-10%",0,,"HOLLAN, BRORIG, RUBURS",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6040,51,4.74,0,499927.727,5367826.061,5367825,"S","N","NA",0,,"ROSNUT",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6041,52,9.77,0,499927.671,5367830.806,5367829,"H","E","0-10%",0,,"HOLLAN, RUBURS",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6042,53,8.45,0,499927.477,5367840.585,5367839,"D","NA","NA",0,,"road",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6043,54,1.71,0,499927.67,5367849.035,5367848,"H","E","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6044,55,9.35,0,499927.575,5367850.745,5367850,"S","E","NA",0,,"RUBDIS, CRAMON,",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6045,56,7.86,0,499927.867,5367860.103,5367859,"H","N","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6046,57,31.46,0,499927.663,5367867.967,5367867,"S","N","NA",0,,"ROSNUT",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6047,58,39.13,0,499927.411,5367899.434,5367899,"H","E","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6048,59,5.71,0,499927.903,5367938.57,5367939,"H","E","11-49%",0,,"LEYMUS",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6049,60,4.86,0,499928.079,5367944.285,5367944,"H","N","50-100%",0,,"LEYMOL",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6050,61,18.69,0,499927.864,5367949.147,5367949,"H","E","11-49%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6051,62,7.58,0,499927.823,5367967.84,5367968,"H","E","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6052,63,10.52,0,499927.672,5367975.425,5367975,"H","E","11-49%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6053,64,47.50,0,499927.841,5367985.947,5367986,"H","E","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6054,65,36.62,0,499927.693,5368033.45,5368033,"H","N","11-49%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6055,66,14.75,0,499928.051,5368070.071,5368070,"H","E","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6056,67,2.70,0,499927.766,5368084.822,5368085,"S","N","NA",0,,"SYMALB",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6057,68,11.80,0,499927.636,5368087.528,5368087,"H","E","11-49%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6058,69,10.00,0,499927.622,5368099.335,5368099,"H","E","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6059,70,14.67,0,499927.799,5368109.341,5368109,"S","N","NA",0,,"ROSA, RIBES",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6060,71,10.50,0,499927.803,5368124.015,5368123,"H","N","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6061,72,3.34,0,499927.621,5368134.516,5368134,"S","N","NA",0,,"RIBES",0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6062,73,11.17,0,499928.018,5368137.865,5368138,"H","N","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6063,74,3.36,0,499927.789,5368149.035,5368149,"H","N","11-49%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6064,75,31.15,0,499927.688,5368152.402,5368152,"H","N","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6065,76,5.61,0,499927.902,5368183.56,5368184,"U","NA","NA",0,"Logs",,0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6066,77,9.23,0,499927.922,5368189.176,5368189,"H","N","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6067,78,6.43,0,499928.148,5368198.413,5368198,"U","NA","NA",0,"Logs",,0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,6068,79,7.91,0,499927.987,5368204.849,5368205,"U","NA","NA",0,"Gravel",,0,
"SAJH","AC.1-10","AC","1-10","2015",5/11/2015 0:00:00,7457,80,0.00,0,499927.797,5368212.762,5368213,"End","NA","NA",0,,"3 meters below hightide line",0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4931,1,3.65,0,499928.454,5366957.14,5366957,"U","NA","NA",0,"Sand",,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4932,2,11.02,0,499927.889,5366960.794,5366961,"U","NA","NA",0,"Gravel",,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4933,3,18.54,0,499928.272,5366971.82,5366972,"U","NA","NA",0,"Logs",,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4934,4,9.00,0,499928.388,5366990.368,5366991,"H","N","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4935,5,3.47,0,499927.56,5366999.371,5367000,"H","E","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4936,6,12.11,0,499927.349,5367002.849,5367004,"H","N","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4937,7,11.81,0,499927.749,5367014.966,5367015,"H","E","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4938,8,2.98,0,499927.719,5367026.785,5367027,"H","N","11-49%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4939,9,7.59,0,499928.071,5367029.768,5367030,"H","E","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4940,10,8.65,0,499928.453,5367037.358,5367038,"H","N","50-100%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4941,11,126.20,0,499927.72,5367046.013,5367046,"H","E","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4942,12,9.42,0,499927.823,5367172.213,5367172,"H","E","11-49%",-1,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4943,13,134.18,0,499927.838,5367181.638,5367182,"H","E","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4944,14,17.02,0,499928.179,5367315.825,5367315,"H","N","11-49%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4945,15,11.49,0,499928.131,5367332.85,5367332,"H","E","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4946,16,13.67,0,499927.671,5367344.34,5367344,"S","E","NA",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4947,17,66.43,0,499928.677,5367358.013,5367357,"H","E","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4948,18,62.55,0,499927.61,5367424.451,5367422,"H","N","50-100%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4949,19,46.07,0,499927.601,5367487.002,5367487,"H","E","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4950,20,9.30,0,499927.851,5367533.08,5367532,"H","N","11-49%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4951,21,4.43,0,499928.156,5367542.38,5367541,"H","E","0-10%",-1,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4952,22,23.37,0,499927.194,5367546.811,5367545,"H","N","50-100%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4953,23,11.57,0,499927.44,5367570.19,5367569,"H","E","11-49%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4954,24,2.67,0,499927.66,5367581.768,5367581,"H","E","0-10%",-1,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4955,25,5.88,0,499927.343,5367584.443,5367583,"H","E","11-49%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4956,26,7.34,0,499927.591,5367590.326,5367589,"H","N","11-49%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4957,27,49.30,0,499926.744,5367597.667,5367597,"H","N","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4958,28,9.41,0,499927.725,5367646.97,5367646,"H","N","11-49%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4959,29,6.59,0,499927.811,5367656.387,5367656,"H","N","50-100%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4960,30,6.51,0,499927.704,5367662.979,5367662,"H","E","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4961,31,10.53,0,499927.795,5367669.492,5367669,"H","N","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4962,32,13.07,0,499928.174,5367680.024,5367679,"H","N","11-49%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4963,33,6.43,0,499927.936,5367693.098,5367692,"H","E","11-49%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4964,34,117.83,0,499927.698,5367699.528,5367699,"H","E","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4965,35,3.60,0,499928.187,5367817.362,5367817,"S","N","NA",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4966,36,5.22,0,499928.001,5367820.966,5367821,"H","E","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4967,37,4.31,0,499928,5367826.187,5367826,"S","N","NA",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4968,38,10.19,0,499928.244,5367830.505,5367830,"H","E","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4969,39,8.75,0,499927.452,5367840.7,5367840,"D","NA","NA",0,,"Road",0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4970,40,1.96,0,499927.137,5367849.455,5367859,"H","E","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4971,41,6.00,0,499927.088,5367851.422,5367851,"S","E","NA",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4972,42,10.43,0,499926.626,5367857.425,5367857,"H","E","11-49%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4973,43,33.47,0,499927.378,5367867.863,5367867,"S","N","NA",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4974,44,7.16,0,499926.915,5367901.335,5367901,"H","E","11-49%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4975,45,30.20,0,499927.368,5367908.501,5367908,"H","E","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4976,46,20.83,0,499927.117,5367938.702,5367938,"H","N","50-100%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4977,47,39.04,0,499927.593,5367959.538,5367960,"H","E","11-49%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4978,48,34.65,0,499927.895,5367998.586,5367997,"H","E","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4979,49,37.21,0,499927.272,5368033.236,5368033,"H","N","11-49%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4980,50,14.90,0,499927.411,5368070.447,5368070,"H","N","50-100%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4981,51,2.30,0,499927.596,5368085.35,5368085,"S","N","NA",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4982,52,21.21,0,499927.707,5368087.653,5368088,"H","N","11-49%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4983,53,15.02,0,499927.378,5368108.864,5368109,"S","N","NA",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4984,54,10.76,0,499928.226,5368123.891,5368124,"H","N","11-49%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4985,55,3.38,0,499927.384,5368134.66,5368135,"S","N","NA",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4986,56,6.05,0,499927.754,5368138.044,5368138,"H","N","11-49%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4987,57,1.32,0,499927.552,5368144.094,5368144,"S","N","NA",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4988,58,56.26,0,499927.789,5368145.417,5368145,"H","N","0-10%",0,,,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,4989,61,10.89,0,499927.678,5368201.682,5368202,"U","NA","NA",0,"Gravel",,0,
"SAJH","AC.1-10","AC","1-10","2014",6/12/2014 0:00:00,7484,62,0.00,0,499927.678,5368212.576,5368213,"End","NA","NA",0,"Gravel",,0,
"SAJH","AC.1-10","AC","1-10","2013",5/7/2013 0:00:00,3742,1,12.85,0,499927.725,5366957.13,5366957,"U","NA","NA",0,"Gravel",,0,
"SAJH","AC.1-10","AC","1-10","2013",5/7/2013 0:00:00,3743,2,8.95,0,499927.771,5366969.984,5366969,"U","NA","NA",0,"Sand",,0,
